Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
24:F2:7F:71:41:C1,20/70,-89.3333,"wifi380A",2.447,8,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
24:F2:7F:71:41:C2,24/70,-86,"iPad",2.447,8,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
24:4B:FE:E2:6D:00,28/70,-82,"Siec_Julianka",2.417,2,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
34:2C:C4:73:26:25,27/70,-83,"UPC4258472",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
D4:F8:29:8D:16:00,27/70,-83,"KAER_MORHEN",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
72:74:14:E4:A4:32,30/70,-80,"My Skoda 2591",2.437,6,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
E4:C0:E2:0D:7E:20,20/70,-90,"Orange_Swiatlowod_7E20",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
34:2C:C4:73:25:F8,26/70,-83,"UPC4258472",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
36:2C:94:73:26:25,27/70,-83,"Wi-Free #InternetUPCNajszybszy",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
AA:2B:B0:25:50:71,22/70,-88,"",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
00:12:2A:BC:51:38,26/70,-84,"NETIASPOT-BC5130",2.472,13,[ 1 2 5.5 11 11 ],Mb,s;,51.1301,17.0427
84:A1:D1:C8:E3:D0,24/70,-86,"Orange_Swiatlowod_E3D0",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
34:0A:33:B1:15:0B,27/70,-83,"dlink-150A",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
C0:3C:04:3B:A7:B0,24/70,-87.6667,"Orange_Swiatlowod_A7B0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
5C:03:39:D4:11:82,20/70,-90,"PLAY INTERNET 4G LTE-5G-1180",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
34:2C:C4:B4:EB:F3,26/70,-84,"UPC0591864",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
80:2A:A8:7C:BC:1D,19/70,-90.3333,"bestnet4-wf-airmax.pl-717170530",5.66,132,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
34:0A:33:7E:4A:A7,32/70,-78,"dlink-4AA6",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
D0:21:F9:B7:FB:89,31/70,-78.6667,"WCO",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
36:2C:94:C0:76:9E,28/70,-82,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
E8:D2:FF:5E:0B:A0,25/70,-87.6667,"Orange_Swiatlowod_0BA0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
34:2C:C4:29:80:73,26/70,-84,"UPC2337714",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
34:2C:C4:E7:50:A7,26/70,-83.3333,"UPC1024805",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
90:5C:44:72:56:C9,26/70,-85,"Dom_Kitkow",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
6E:FF:7B:26:03:DB,25/70,-85,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
34:0A:33:B0:F8:02,30/70,-82,"dlink-F800",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
34:0A:33:B0:F8:01,36/70,-75.3333,"dlink-F800",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
60:32:B1:16:73:1B,27/70,-83,"TP-Link_731B",2.427,4,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
D2:21:F9:97:FB:89,36/70,-78.6667,"WCO_FREE",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],NoInfo,NoInfo,51.1301,17.0427
36:2C:94:33:1B:C5,26/70,-84,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
84:A1:D1:D1:FC:B5,25/70,-82.3333,"Orange_Swiatlowod_FCB0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
AC:22:05:AD:07:0D,26/70,-84,"UPCC6CB72E",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
34:0A:33:7E:4A:A8,21/70,-88,"dlink-4AA6",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
80:2A:A8:7E:A6:B4,20/70,-90,"bestnet3-wf-airmax.pl-717170530",5.7,140,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
5C:03:39:D4:11:80,22/70,-88,"PLAY INTERNET 4G LTE-1180",2.452,9,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
68:FF:7B:E4:06:02,26/70,-87,"TP-Link_0604_5G",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
78:44:76:BC:2F:5C,22/70,-88,"784476BC2F5C",2.472,13,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
00:D0:CB:F7:4D:82,30/70,-80,"FineMedia1985",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
F4:91:1E:C4:58:7D,24/70,-86,"1ec4587d",2.412,1,[ 1 2 5.5 6 9 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
90:5C:44:98:D8:5C,29/70,-81,"UPC4785A9E",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
92:5C:14:98:D8:5C,28/70,-82,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
10:27:F5:61:7F:74,24/70,-86,"SkyNet!",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
16:27:F5:61:7F:74,20/70,-90,"",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
20:83:F8:4B:51:E0,29/70,-81,"NETIASPOT-2.4GHz-4B51DC",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
A0:63:91:08:43:72,24/70,-86,"thirtydoorkey",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
D2:21:F9:A7:FB:8A,24/70,-86,"WCO_FREE",5.745,149,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
04:D9:F5:A5:B8:A8,24/70,-86,"ASUS",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
