Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
60:AA:EF:B8:B1:88,21/70,-89,"WLAN1-73TAHD",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
68:FF:7B:E4:06:02,22/70,-88,"TP-Link_0604_5G",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
C4:E9:84:F9:40:D6,26/70,-84,"2156277005969",2.462,11,[ 1 2 5.5 11 6 24 36 48 54 ],NoInfo,NoInfo,51.1297,17.0413
04:D4:C4:C2:3E:40,24/70,-86,"Wazlizka 1",2.462,11,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
A0:EC:F9:AC:73:48,27/70,-83,"E.Leclerc Free WiFi",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],NoInfo,NoInfo,51.1297,17.0413
08:7E:64:2E:23:25,22/70,-88,"Vectra-WiFi-2E2320",2.447,8,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1297,17.0413
3C:84:6A:1B:01:41,23/70,-87,"Midki",5.24,48,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
36:2C:94:B4:F1:DC,19/70,-91,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
AC:F8:CC:20:E7:AA,23/70,-87,"UPC3301663",5.62,124,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
E4:BE:ED:DC:85:10,25/70,-81.6667,"korbank2.4",2.462,11,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
24:F2:7F:71:A5:51,21/70,-89,"wifi380A",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
C0:25:2F:3F:2A:A6,33/70,-82.3333,"MERCUSYS_2AA6",2.422,3,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
6C:60:EB:87:82:3D,38/70,-75.6667,"Korbank-internet-c4f5_2.4GHz",2.437,6,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
00:12:2A:B8:B2:D8,19/70,-86.3333,"NETIASPOT-B8B2D0",2.442,7,[ 1 2 5.5 11 11 ],Mb,s;,51.1297,17.0413
36:2C:94:33:1B:C5,39/70,-74.6667,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
00:12:2A:BC:D4:08,26/70,-84.6667,"NETIASPOT-BCD400",2.472,13,[ 1 2 5.5 11 11 ],Mb,s;,51.1297,17.0413
34:2C:C4:33:1B:8C,38/70,-72.6667,"UPC9995925",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
34:2C:C4:D8:77:A3,30/70,-80,"Internet UPC",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
68:02:B8:90:9E:E7,31/70,-79,"UPC7422018",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
60:32:B1:16:73:1B,26/70,-84,"TP-Link_731B",2.427,4,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
34:2C:C4:5A:8A:03,28/70,-82,"UPC6310644",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
78:44:76:B9:E2:B8,33/70,-74.3333,"784476B9E2B8",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
18:D6:C7:36:DA:D2,24/70,-85.3333,"DOMEK7",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
2C:4D:54:75:B2:D8,25/70,-85,"Buu_2.4GHz",2.457,10,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1297,17.0413
34:2C:C4:D8:77:C9,24/70,-84.6667,"Internet UPC",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
36:2C:94:D8:77:C9,26/70,-84,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
86:25:19:74:21:DD,26/70,-83.6667,"DIRECT-loM2020 Series",2.462,11,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
88:AC:C0:80:2C:81,23/70,-87,"ZyXEL802C80",2.472,13,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1297,17.0413
AC:F8:CC:86:3A:6A,38/70,-72,"UPC7579880",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
8C:5B:F0:F0:93:EA,22/70,-87.3333,"UPC507106965",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
24:A4:3C:FE:13:88,24/70,-86,"slon-AER tel 888084818",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
80:2A:A8:7E:A6:B4,18/70,-92,"bestnet3-wf-airmax.pl-717170530",5.7,140,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
20:83:F8:4A:28:00,24/70,-86,"NETIASPOT-5GHz-4A27F8",5.26,52,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
C0:25:2F:3F:2A:A8,28/70,-82,"MERCUSYS_2AA6_5G",5.24,48,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
78:98:E8:59:24:F7,19/70,-91,"dlink-24F5",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
84:16:F9:BB:10:30,26/70,-84,"OficjalnaSie\xC4\x87Lucyfera",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
14:4D:67:0A:F1:64,31/70,-79,"Korbank-2.4G-144D670AF160",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
BC:E9:2F:4A:AD:BF,28/70,-79.3333,"DIRECT-BD-HP DeskJet 2700 series",2.447,8,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
18:D6:C7:BB:B0:B3,23/70,-87,"TP-LINK_B0B3",2.457,10,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
5A:AC:C0:80:2C:83,28/70,-82,"pralniaspeed",2.472,13,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1297,17.0413
A8:E5:44:D3:CD:AA,29/70,-81,"PLAY INTERNET 4G LTE-CDAA",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1297,17.0413
C8:3A:35:50:1C:58,21/70,-85.6667,"Kociarnia",2.432,5,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1297,17.0413
08:BD:43:64:72:2E,23/70,-87,"pronajem",2.447,8,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
34:2C:C4:5A:89:FE,25/70,-85,"UPC6310644",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
E4:BE:ED:DC:85:15,22/70,-88,"korbank5g",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
F4:91:1E:D3:CE:41,32/70,-78,"1ed3ce41",2.412,1,[ 1 2 5.5 6 9 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
68:02:B8:90:9E:EB,29/70,-81.5,"UPC7422018",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
6A:02:98:90:9E:EB,26/70,-83,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
8C:59:C3:77:F5:C4,23/70,-88,"NETIASPOT-5GHz-77F5BC",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
24:7F:20:5C:3D:B3,39/70,-71,"FunBox2-3DB3",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1297,17.0413
84:16:F9:BB:10:31,22/70,-88,"OficjalnaSiecJezusaChrystusa",2.427,4,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
CC:2D:21:2C:01:31,21/70,-89,"Penthouse WiFi",2.437,6,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
60:A4:B7:D7:6E:16,21/70,-89,"Maszt 2.4G 300% mocy",2.452,9,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
